week,team_id,team_name,power_score,power_rank,week_points
5,4.0,Minneapolis Lakers,0.8999999998525469,1,855.0
5,23.0,Los Suns de PFKNR,0.8087826924350373,2,823.0
5,16.0,El TumbaCuello 🏆,0.732516128213871,3,785.0
5,5.0,Barrio Cerrillos 🏆,0.69629854380271,4,629.0
5,3.0,Morovis  El Calor 🏆,0.6891797621821558,5,765.0
5,6.0,Las Villas ENDGAME,0.6859023735021879,6,771.0
5,17.0,El Mostroso,0.640468133628371,7,792.0
5,20.0,BBQ CHICKEN HOSPITAL,0.5999133800081052,8,656.0
5,18.0,Reaves's Pieces,0.4983258683449739,9,619.0
5,25.0,Ringo's Cool Team,0.4252302133077063,10,747.0
5,9.0,La Guillotina,0.4115927669683734,11,741.0
5,22.0,Champion DX S*CK IT ,0.3466201780687123,12,702.0
5,26.0,Morrisville Rehab Facility,0.206697459584271,13,576.0
5,24.0,Bench warming brick layers unit,0.1323414995352074,14,422.0
4,23.0,Los Suns de PFKNR,0.7717430668120894,1,833.0
4,4.0,Minneapolis Lakers,0.7689473682736244,2,742.0
4,5.0,Barrio Cerrillos 🏆,0.7541963194195614,3,783.0
4,3.0,Morovis  El Calor 🏆,0.751535420380746,4,908.0
4,17.0,El Mostroso,0.6833276206831709,5,907.0
4,16.0,El TumbaCuello 🏆,0.6657518155847325,6,762.0
4,6.0,Las Villas ENDGAME,0.6541009878208951,7,794.0
4,20.0,BBQ CHICKEN HOSPITAL,0.5664728792180274,8,691.0
4,18.0,Reaves's Pieces,0.5126257346388761,9,719.0
4,9.0,La Guillotina,0.3713660743708322,10,757.0
4,26.0,Morrisville Rehab Facility,0.221578947368389,11,682.0
4,25.0,Ringo's Cool Team,0.2000570031460955,12,528.0
4,22.0,Champion DX S*CK IT ,0.1842037443748143,13,568.0
4,24.0,Bench warming brick layers unit,0.1828678153246677,14,592.0
3,4.0,Minneapolis Lakers,0.8875647666918455,1,806.0
3,23.0,Los Suns de PFKNR,0.7563421941640948,2,766.0
3,5.0,Barrio Cerrillos 🏆,0.7502898563706983,3,748.0
3,20.0,BBQ CHICKEN HOSPITAL,0.73778866869159,4,814.0
3,3.0,Morovis  El Calor 🏆,0.6955768711579006,5,778.0
3,6.0,Las Villas ENDGAME,0.5715621277172575,6,703.0
3,17.0,El Mostroso,0.5395575088751516,7,721.0
3,18.0,Reaves's Pieces,0.5266031003328582,8,727.0
3,16.0,El TumbaCuello 🏆,0.481014973479518,9,621.0
3,25.0,Ringo's Cool Team,0.3834766922651714,10,739.0
3,9.0,La Guillotina,0.2931672742617456,11,687.0
3,22.0,Champion DX S*CK IT ,0.1930393047784013,12,647.0
3,26.0,Morrisville Rehab Facility,0.1808290155439995,13,673.0
3,24.0,Bench warming brick layers unit,0.1587663700015149,14,638.0
1,5.0,Barrio Cerrillos 🏆,0.8528805299457568,1,671.0
1,4.0,Minneapolis Lakers,0.8358381501414972,2,634.0
1,23.0,Los Suns de PFKNR,0.7702599515093067,3,636.0
1,6.0,Las Villas ENDGAME,0.721557635219634,4,658.0
1,16.0,El TumbaCuello 🏆,0.6648300023811459,5,604.0
1,18.0,Reaves's Pieces,0.5855356829198939,6,627.0
1,20.0,BBQ CHICKEN HOSPITAL,0.5609100559749113,7,569.0
1,3.0,Morovis  El Calor 🏆,0.5122290619992871,8,533.0
1,17.0,El Mostroso,0.4898974411882083,9,559.0
1,24.0,Bench warming brick layers unit,0.3751160660090555,10,638.0
1,25.0,Ringo's Cool Team,0.2364731881171727,11,519.0
1,9.0,La Guillotina,0.1905766006866692,12,498.0
1,22.0,Champion DX S*CK IT ,0.1595612131913686,13,502.0
1,26.0,Morrisville Rehab Facility,0.138150289017319,14,520.0
2,4.0,Minneapolis Lakers,0.7913793101973613,1,779.0
2,6.0,Las Villas ENDGAME,0.7363423671311693,2,857.0
2,23.0,Los Suns de PFKNR,0.6874191103692541,3,752.0
2,5.0,Barrio Cerrillos 🏆,0.6860701851182865,4,734.0
2,17.0,El Mostroso,0.6841170943673308,5,863.0
2,18.0,Reaves's Pieces,0.4989052264718875,6,737.0
2,16.0,El TumbaCuello 🏆,0.4900666976174451,7,638.0
2,20.0,BBQ CHICKEN HOSPITAL,0.4597714273124256,8,648.0
2,3.0,Morovis  El Calor 🏆,0.4580009376222015,9,636.0
2,26.0,Morrisville Rehab Facility,0.3870689655171176,10,853.0
2,9.0,La Guillotina,0.2759214282728394,11,697.0
2,22.0,Champion DX S*CK IT ,0.2315041073511951,12,692.0
2,24.0,Bench warming brick layers unit,0.2099277064317257,13,691.0
2,25.0,Ringo's Cool Team,0.2000570031460955,14,631.0
6,23.0,Los Suns de PFKNR,0.7707734307319802,1,754.0
6,5.0,Barrio Cerrillos 🏆,0.7240370978032392,2,695.0
6,4.0,Minneapolis Lakers,0.6983333331749165,3,645.0
6,16.0,El TumbaCuello 🏆,0.6458438390643116,4,681.0
6,20.0,BBQ CHICKEN HOSPITAL,0.6037762396722636,5,707.0
6,17.0,El Mostroso,0.58650312858465,6,733.0
6,6.0,Las Villas ENDGAME,0.5740812067157222,7,671.0
6,3.0,Morovis  El Calor 🏆,0.5509179386832485,8,700.0
6,25.0,Ringo's Cool Team,0.5028976152559139,9,887.0
6,18.0,Reaves's Pieces,0.4713892824817008,10,679.0
6,9.0,La Guillotina,0.3725465146422713,11,674.0
6,22.0,Champion DX S*CK IT ,0.3404501309226839,12,746.0
6,26.0,Morrisville Rehab Facility,0.1466666666666537,13,583.0
6,24.0,Bench warming brick layers unit,0.1194444251024666,14,527.0
7,23.0,Los Suns de PFKNR,0.8999999998559739,1,944.0
7,17.0,El Mostroso,0.7738565862125064,2,888.0
7,16.0,El TumbaCuello 🏆,0.725290008588995,3,736.0
7,4.0,Minneapolis Lakers,0.6333265547861168,4,703.0
7,18.0,Reaves's Pieces,0.631958992318797,5,850.0
7,5.0,Barrio Cerrillos 🏆,0.615504041264362,6,731.0
7,3.0,Morovis  El Calor 🏆,0.5716246570562369,7,697.0
7,6.0,Las Villas ENDGAME,0.5381153123418436,8,700.0
7,9.0,La Guillotina,0.5228378177400703,9,826.0
7,25.0,Ringo's Cool Team,0.4766786299069409,10,807.0
7,22.0,Champion DX S*CK IT ,0.3452953096262481,11,739.0
7,20.0,BBQ CHICKEN HOSPITAL,0.3438913119699911,12,533.0
7,24.0,Bench warming brick layers unit,0.1797107373598928,13,567.0
7,26.0,Morrisville Rehab Facility,0.1,14,508.0
8,16.0,El TumbaCuello 🏆,0.8618421438691395,1,526.0
8,23.0,Los Suns de PFKNR,0.7807228914051293,2,427.0
8,17.0,El Mostroso,0.7336379492142656,3,463.0
8,5.0,Barrio Cerrillos 🏆,0.6833892985667538,4,436.0
8,4.0,Minneapolis Lakers,0.674874695011961,5,414.0
8,6.0,Las Villas ENDGAME,0.6419959773357162,6,471.0
8,9.0,La Guillotina,0.621224679174903,7,524.0
8,3.0,Morovis  El Calor 🏆,0.5424310283514258,8,372.0
8,20.0,BBQ CHICKEN HOSPITAL,0.4780769816189667,9,373.0
8,18.0,Reaves's Pieces,0.4573761016206386,10,316.0
8,25.0,Ringo's Cool Team,0.3307333962980388,11,345.0
8,22.0,Champion DX S*CK IT ,0.31269128765249965,12,363.0
8,26.0,Morrisville Rehab Facility,0.24889842769666592,13,399.0
8,24.0,Bench warming brick layers unit,0.1,14,277.0
